Algorithm,Processors,log(m),log(n),minimum weight,maximum weight,graph-type,tree-factor,run time
boruvka,1,18,10,1,254,gnm,2,20387 
boruvka,2,18,10,1,254,gnm,2,9428 
boruvka,4,18,10,1,254,gnm,2,6838 
boruvka,8,18,10,1,254,gnm,2,6192 
boruvka,16,18,10,1,254,gnm,2,2769 
boruvka,32,18,10,1,254,gnm,2,2187 
boruvka,1,18,10,1,254,gnm,2,20552 
boruvka,2,18,10,1,254,gnm,2,9417 
boruvka,4,18,10,1,254,gnm,2,6978 
boruvka,8,18,10,1,254,gnm,2,4671 
boruvka,16,18,10,1,254,gnm,2,3396 
boruvka,32,18,10,1,254,gnm,2,2175 
boruvka,1,18,10,1,254,gnm,2,20311 
boruvka,2,18,10,1,254,gnm,2,9429 
boruvka,4,18,10,1,254,gnm,2,6924 
boruvka,8,18,10,1,254,gnm,2,4788 
boruvka,16,18,10,1,254,gnm,2,3332 
boruvka,32,18,10,1,254,gnm,2,2120 
