Algorithm,Processors,log(m),log(n),minimum weight,maximum weight,graph-type,tree-factor,run time
merge,1,18,10,1,254,gnm,2,17855 
merge,2,18,10,1,254,gnm,2,10717 
merge,4,18,10,1,254,gnm,2,8917 
merge,8,18,10,1,254,gnm,2,5027 
merge,16,18,10,1,254,gnm,2,3442 
merge,32,18,10,1,254,gnm,2,2628 
merge,1,18,10,1,254,gnm,2,17869 
merge,2,18,10,1,254,gnm,2,10865 
merge,4,18,10,1,254,gnm,2,7033 
merge,8,18,10,1,254,gnm,2,4763 
merge,16,18,10,1,254,gnm,2,2866 
merge,32,18,10,1,254,gnm,2,2457 
merge,1,18,10,1,254,gnm,2,17738 
merge,2,18,10,1,254,gnm,2,10704 
merge,4,18,10,1,254,gnm,2,6732 
merge,8,18,10,1,254,gnm,2,5872 
merge,16,18,10,1,254,gnm,2,3294 
merge,32,18,10,1,254,gnm,2,2548 
merge,1,18,10,1,254,gnm,2,15428 
merge,2,18,10,1,254,gnm,2,9820 
merge,4,18,10,1,254,gnm,2,7221 
merge,8,18,10,1,254,gnm,2,5034 
merge,16,18,10,1,254,gnm,2,2475 
merge,32,18,10,1,254,gnm,2,2234 
merge,64,18,10,1,254,gnm,2,3372 
merge,1,18,10,1,254,gnm,2,15426 
merge,2,18,10,1,254,gnm,2,9744 
merge,4,18,10,1,254,gnm,2,6896 
merge,8,18,10,1,254,gnm,2,4993 
merge,16,18,10,1,254,gnm,2,3213 
merge,32,18,10,1,254,gnm,2,2255 
merge,64,18,10,1,254,gnm,2,3387 
merge,1,18,10,1,254,gnm,2,15511 
merge,2,18,10,1,254,gnm,2,9939 
merge,4,18,10,1,254,gnm,2,7451 
merge,8,18,10,1,254,gnm,2,5151 
merge,16,18,10,1,254,gnm,2,3015 
merge,32,18,10,1,254,gnm,2,2351 
merge,64,18,10,1,254,gnm,2,3319 
